,smiles,value
132,*OC(C)C(*)=O,57.62
231,*CCCOC(=O)NCCCCCCNC(=O)O*,28.37
31,*CC(*)C(=O)NCCCCCCCCCCCCCCCCCC,21.61
84,*CCOC(=O)CCC(=O)O*,79.99
296,*CC(CS(C)(=O)=O)O*,0.37
287,*Oc1ccc(Oc2ccc(Oc3ccc(Oc4ccc(OC(=O)c5ccc(Oc6ccc(Oc7ccc(C(*)=O)cc7)cc6)cc5)cc4)cc3)cc2)cc1,30.44
229,*CCCCCNC(=O)O*,73.38
418,*CCN(*)C(=O)c1ccc(OCCCSCC(=O)O)cc1,11.78
378,*Oc1ccc(OC(=O)c2cc(OCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc(C(*)=O)c2)cc1,3.92
210,*CCCCCCNC(=O)C(CCCCCCCCCCCCCCCC)C(=O)N*,38.94
261,*CCCCCOC(=O)O*,15.11
5,*CCCCCCCC(*)C,31.47
45,*CC(CCl)O*,51.33
145,*CCCCCCOC(=O)CCCCCNC(=O)CCCCC(=O)NCCCCCC(=O)O*,20.69
403,*CCC1C(=O)N(CCCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)C1*,3.16
373,*Oc1cc(OC(=O)c2ccc(OCCCCC)cc2)c(OC(=O)CCCCCCCCCCCCCCC(*)=O)cc1OC(=O)c1ccc(OCCCCC)cc1,16.08
272,*CCCCCCCCCCCCCCCCCCCCC(*)COCCOCCOCCOCCOCCCCCCCCCCCCCC,28.0
16,*CC(*)OC(=O)CCCCCCCCCCCCCCC,33.35
400,*c1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4)cc3)cc2)cc1,78.27
131,*OC(C)CC(*)=O,71.37270952
361,*CCCCCCCCCCCCOC(=O)CC=CCC(=O)O*,89.84
3,*CC(*)CCC,20.01
18,*CC(*)(C)C#N,8.0
137,*Oc1ccc(OC(=O)CCCCC(*)=O)cc1,62.08
60,*CCOc1ccc(C(=O)OCCOC(=O)c2ccc(O*)cc2)cc1,96.09
209,*CCCCCCNC(=O)C(CCCCCCC)C(=O)N*,11.47
117,*CCCCCCCCCCCCC(=O)O*,74.44953187
63,*CCOCCOCCOC(=O)NCCCCCCNC(=O)O*,35.73
110,*CCOC(=O)c1ccc2cc(C(=O)O*)ccc2c1,40.762904
274,*CC(*)(C)C(=O)NCCCCCCCCCCC(=O)NCCCCCCCCCCC(=O)O,12.52
203,*CCCCCCCCCCCCNC(=O)CCP(C)(=O)CCC(=O)N*,9.73
29,*CC(*)C(=O)NCCCCCCCCCCCCCC,9.79
369,*Oc1cc(OC(=O)c2ccc(OC)cc2)c(OC(=O)CCCCCCCCCCCCCCC(*)=O)cc1OC(=O)c1ccc(OC)cc1,37.08
